,username,verified,topic2,topic4,topic13,topic26,topic54
0,@CDCgov,1,0,0,1,0,0
1,@NBSaphierMD,1,1,0,0,0,0
2,@hillsy191,0,1,0,0,0,0
3,@cimtrbl2,0,0,0,1,0,0
4,@JMCRHealthDept,1,0,0,1,0,0
5,@jujukus,0,0,0,0,0,0
6,@nykkynn,0,0,0,0,0,0
7,@team_stewart6,0,0,0,0,0,0
8,@P8NTRMAN,0,0,0,0,0,0
9,@DEEGILES0410,0,0,0,0,0,0
10,@IAmMelloQ,0,0,1,0,0,0
11,@DarkSparxz,0,0,0,0,0,0
12,@theflutelady,0,0,1,0,0,0
13,@dianembates,0,0,1,0,0,0
14,@BAllenPOTUS2020,0,0,0,0,0,0
15,@thepcphreak,0,0,1,0,0,0
16,@JenniferHouse15,0,0,0,0,0,0
17,@Zzzoney64,0,0,0,0,0,0
18,@tajma_kotoric,0,1,0,0,0,0
19,@Miguelnbc,1,1,0,0,0,0
20,@heliosmou,0,0,0,0,0,0
21,@rivermutt,0,0,0,0,0,0
22,@VOAYYH,0,0,0,0,1,0
23,@TknbyWind,0,0,0,0,0,0
24,@GrimmGreen,0,0,0,0,0,0
25,@LisaBossPhD_RN,0,0,0,0,0,0
26,@pohavemercy,0,0,0,0,0,0
27,@new_orchid,0,0,0,0,0,0
28,@ChloeMS,0,0,0,1,0,0
29,@beshannonphotos,0,1,0,0,0,0
30,@ang10311,0,1,0,0,0,0
31,@misbrown2u,0,0,0,0,0,0
32,@LibbyBlog,0,0,0,0,0,0
33,@AlexanderTheKim,0,0,0,1,0,0
34,@stephschor,0,0,0,0,0,0
35,@ThreeStones2020,0,0,0,0,0,0
36,@jpsarj51,0,0,0,0,0,0
37,@AmyRebekahButl1,0,1,0,0,0,0
38,@danielmtortora,0,0,1,0,0,0
39,@RabeccaPrimeau,0,1,0,0,0,0
40,@doritmi,1,0,0,0,0,0
41,@usorthem3,0,0,0,0,0,0
42,@Juliacsk,0,0,0,0,0,0
43,@DonnaWh69091169,0,1,0,0,0,0
44,@kdcnett,0,0,0,0,0,0
45,@karenshappy,0,0,0,0,0,0
46,@justmarvelousme,0,1,0,0,0,0
47,@randychenimpex,0,0,0,1,0,0
48,@bertha1957,0,0,0,0,0,0
49,@_MikeVanhala_,0,1,0,0,0,0
50,@inignomontoya,0,0,0,0,0,0
51,@DorothyBeach,0,0,0,1,0,0
52,@mkwoods,0,0,0,0,0,0
53,@drisclaw,0,1,0,0,0,0
54,@jevansryan,0,0,0,0,0,0
55,@CamillaR_TV,1,0,0,0,0,0
56,@jules0117insc,0,0,0,0,0,0
57,@Stephan19586329,0,0,0,0,0,0
58,@JT2021_22,0,0,0,0,0,0
59,@monjon84,0,0,0,0,0,0
60,@sherisherman732,0,0,0,0,0,0
61,@mc_johnst,0,0,0,0,1,0
62,@n3v360,0,0,0,0,0,0
63,@MichaelGorvitz,0,0,0,0,0,0
64,@VictorLoRusso2,0,0,0,0,0,0
65,@MKvidahl,0,0,0,0,0,0
66,@sheltgarner,0,0,0,0,0,0
67,@trytostopJane,0,1,0,0,0,0
68,@madmamavotes,0,0,0,0,0,0
69,@Cinnamon305,0,0,1,0,0,0
70,@DallasAnalytics,0,0,0,0,0,0
71,@Zwirb321,0,0,0,0,0,0
72,@KevinCullen67,0,0,0,0,0,0
73,@Russ_Schmied,0,0,0,0,0,0
